path,action,notes
AI/WORKLOG.md,added,initial worklog for repo bootstrap
README.md,added,project description
.gitignore,added,ignore .NET artifacts
.github/workflows/dotnet.yml,added,CI workflow to build .NET
AI/repo-create,completed,repo created and initial scaffold pushed to GitHub
LICENSE,added,Apache-2.0 license added
spec/SUBTREE_POLICY.md,added,policy for managing spec-kit as a subtree
diagrams/plantuml/activity-time-entry.puml,created,Activity diagram - time entry creation
diagrams/plantuml/activity-admin-users.puml,created,Activity diagram - admin user management
diagrams/plantuml/state-workitem.puml,created,State diagram - WorkItem lifecycle
diagrams/plantuml/state-user.puml,created,State diagram - User lifecycle
diagrams/plantuml/erd-physical.puml,created,Physical schema - DDL-level MariaDB schema
diagrams/README.md,modified,Updated Required Diagrams table; added directory entries
diagrams/plantuml/png/activity-time-entry.png,created,PlantUML PNG export - activity time entry
diagrams/plantuml/png/activity-admin-users.png,created,PlantUML PNG export - admin user management
diagrams/plantuml/png/state-workitem.png,created,PlantUML PNG export - WorkItem state machine
diagrams/plantuml/png/state-user.png,created,PlantUML PNG export - User state machine
diagrams/plantuml/png/erd-physical.png,created,PlantUML PNG export - physical schema
docs/deployment/STANDARDS.md,created,DSC-specific deployment checklist with project status table
docs/data-model/README.md,modified,Added Markdown attribution block after title
docs/development-history.md,modified,Added Markdown attribution block after title
docs/local-development/README.md,modified,Added Markdown attribution block after title
CODING_STANDARDS.md,modified,Added Markdown attribution format to section 1; docs/data-model to section 3
.github/copilot-instructions.md,modified,Added Markdown docs attribution format block
diagrams/README.md,modified,Added PNG links for entries 14-18 and section-level PNG-folder notes
AI/nextSteps.md,modified,"Appended Design Changes Session Review 2026-02-21: 7 items (P1–P7) covering Activity page tabs/templates/budget, expense category parity, task deviation reporting, expanded seed data, management reports, weekly summary, and Reports page tabs — with analysis and prioritized work order"
AI/nextSteps.md,modified,"Appended MASTER TODO section — 25 items across 5 tiers, detailed per-item implementation notes, git branching strategy, and 7-session plan of attack"
AI/nextSteps.md,modified,"Marked Todo #9 / P6 branch protection complete in 5 locations: DevOps table, P6 section (full ruleset details), branching strategy note, Tier 3 table, Session A plan"
AI/WORKLOG.md,modified,Prepended 2026-02-22 entry for Todo #9 completion; corrected prior session note (ruleset was disabled not applied)
AI/CHANGES.csv,modified,Added two completion entries for Todo #9
src/DSC.Api/Seeding/TestDataSeeder.cs,modified,"Session A: 7 users (2 Director/2 Manager/3 User), UserAuth, 5 SW/telecom projects P3001-P3005, 36 variance work items, project assignments, directorRole fix — PR #19"
AI/WORKLOG.md,modified,Prepended 2026-02-22 Session A entry
AI/CHANGES.csv,modified,Added Session A entries
AI/COMMIT_INFO.txt,modified,Added Session A commit hashes
AI/COMMANDS.sh,modified,Added Session A commands
2026-02-22,AI/nextSteps.md,modified,docs,Mark Todo #1 complete in all 3 locations (table + Session A plan + branching tree)
2026-02-22,AI/nextSteps.md,modified,docs,Full restructure: Master TODO first with Status column; session history reversed; condensed 3477→354 lines; Todo #9 added
2026-02-22,CODING_STANDARDS.md,modified,docs,Added section 10 — nextSteps.md maintenance standard
2026-02-22,.github/copilot-instructions.md,modified,docs,Added nextSteps.md document maintenance guardrails block
2026-02-22,.kittify/config.yaml,created,spec-kitty project config (GitHub Copilot agent; Software Dev Kitty mission)
2026-02-22,.kittify/metadata.yaml,created,spec-kitty metadata updated by init
2026-02-22,.kittify/AGENTS.md,created,spec-kitty agent definitions
2026-02-22,.gitignore,modified,Added __pycache__/ and *.pyc exclusions
2026-02-22,kitty-specs/002-expense-category-parity/,created,spec.md + plan.md + 4 WP files + openapi/db fixtures
2026-02-22,kitty-specs/003-task-deviation-report/,created,spec.md + plan.md + 4 WP files + openapi fixture
2026-02-22,kitty-specs/004-activity-page-refactor/,created,spec.md + plan.md + 6 WP files (bundles Todo #4 and #6)
2026-02-22,kitty-specs/005-reports-tabs/,created,spec.md + plan.md + 2 WP files
2026-02-22,kitty-specs/006-weekly-summary/,created,spec.md + plan.md + 2 WP files + openapi fixture
2026-02-22,kitty-specs/007-management-reports/,created,spec.md + plan.md + 3 WP files + openapi fixtures
2026-02-22,kitty-specs/008-dept-roster-org-chart/,created,spec.md + plan.md + 6 WP files + openapi fixtures
2026-02-22,AI/WORKLOG.md,modified,Prepended Session D entry (spec-kitty init + feature specs)
2026-02-22,AI/CHANGES.csv,modified,Added Session D entries
2026-02-22,AI/COMMANDS.sh,modified,Added Session D commands
2026-02-22,AI/COMMIT_INFO.txt,modified,Added Session D commit hash
2026-02-23,tenant-gitops-be808f/charts/dsc-app/values.yaml,modified,Fixed MariaDB image URL from be808f-docker-local to docker-remote (commit 1f21deb)
2026-02-23,AI/nextSteps.md,modified,Added Tier 0 Deployment section; prepended Session E history
2026-02-23,AI/WORKLOG.md,modified,Prepended Session E entry (Emerald deployment infrastructure)
2026-02-23,AI/CHANGES.csv,modified,Added Session E entries
2026-02-23,AI/COMMANDS.sh,modified,Added Session E oc commands
2026-02-23,AI/nextSteps.md,modified,Marked Rocket.Chat post + PAT + GitHub Secrets as done; added Artifactory UI steps with BLOCKED status
2026-02-23,AI/WORKLOG.md,modified,Prepended Session F entry
2026-02-23,AI/CHANGES.csv,modified,Added Session F gh commands
2026-02-23,.github/copilot-instructions.md,modified,Added Session Startup Protocol + Artifactory approval note + image path fix
2026-02-23,docs/deployment/DEPLOYMENT_NEXT_STEPS.md,modified,Updated §2.2 with current status, oc check command, UI steps, push warning
2026-02-23,AI/WORKLOG.md,modified,Prepended Session G entry
2026-02-23,AI/CHANGES.csv,modified,Added Session G entries
2026-02-23,AI/COMMANDS.sh,modified,Added Session G git commands
2026-02-23,AI/COMMIT_INFO.txt,modified,Added Session G commit hashes
2026-02-23,containerization/Containerfile.api,modified,Converted /* */ header to # comments (Docker parse fix)
2026-02-23,containerization/Containerfile.frontend,modified,Converted /* */ header to # comments (Docker parse fix)
2026-02-23,.github/copilot-instructions.md,modified,Updated hardcoded context block (Artifactory approved); added Containerfile exception rule; expanded NetworkPolicy paired-policy guidance
2026-02-23,tenant-gitops-be808f/deploy/dsc-dev_values.yaml,modified,Fixed Artifactory repo prefix be808f-docker-local → dbe8-docker-local; tag 7a38753
2026-02-23,tenant-gitops-be808f/charts/dsc-app/templates/networkpolicies.yaml,modified,Added api-egress-to-db and frontend-egress-to-api egress NetworkPolicies
